compound	BLK_1	PB_PM1	PB_PM10	PB_PM11	PB_PM12	PB_PM2	PB_PM3	PB_PM4	PB_PM5	PB_PM6	PB_PM7	PB_PM8	PB_PM9	PM1_D0	PM1_D10	PM1_D30	PM1_D50	PM10_D0	PM10_D10	PM10_D30	PM10_D50	PM11_D0	PM11_D10	PM11_D30	PM11_D50	PM12_D0	PM12_D10	PM2_D0	PM2_D10	PM2_D30	PM2_D50	PM3_D0	PM3_D10	PM3_D30	PM3_D50	PM4_D0	PM4_D10	PM4_D30	PM4_D50	PM5_D0	PM5_D10	PM5_D30	PM5_D50	PM6_D0	PM6_D10	PM6_D30	PM6_D50	PM7_D0	PM7_D10	PM7_D30	PM7_D50	PM8_D0	PM8_D10	PM8_D30	PM8_D50	PM9_D0	PM9_D10	PM9_D30	PM9_D50	QC2	QC3	QC4	QC5	QC6	QC7
ft180	NA	NA	NA	NA	NA	103611	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3547	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ft162	NA	NA	5090367	3251005	2696360	479331	4093081	2190344	875361	3949219	3505200	3307474	4798116	15395272	3926426	10039901	11017610	1060478	338826	158265	208240	1414676	420374	658206	412910	1245811	1085016	20282614	3617517	1254034	12162225	2373947	704399	3014616	3755562	2679844	NA	1090384	2742211	1860242	26768	307609	1197572	1156727	523167	318121	1583202	2181062	639339	53184	1678085	683617	NA	562741	3553570	1502901	513658	NA	320955	2183943	559941	1469702	2144020	1573379	1477311
ft172	NA	NA	NA	NA	NA	NA	NA	NA	3536714	NA	NA	NA	NA	5909411	16390903	4303572	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5059121	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	20236	NA	NA	13804	NA	103671	NA	NA	NA	31151	2878943	NA	NA	NA	336636	NA	NA	NA	22146	2357478	NA	NA	NA	NA
ft163	363807	NA	NA	395063	NA	NA	NA	NA	NA	321628	NA	85479	341663	NA	NA	NA	NA	314245	379555	343387	364587	296607	279443	325238	297899	350396	NA	NA	441692	44136	NA	384425	90961	NA	401527	513367	NA	333142	412949	429170	419705	280901	498120	381995	305511	434952	383413	444027	402493	327574	383397	NA	NA	NA	NA	375980	416069	412824	397718	399003	406837	416572	NA	287617	339840
ft171	NA	NA	NA	177476	NA	NA	88415	123571	NA	NA	242783	NA	113625	NA	NA	NA	NA	NA	NA	45239	NA	NA	31199	NA	NA	NA	258685	180173	NA	NA	NA	172179	46029	233276	249388	166343	NA	NA	230759	179935	NA	NA	126171	NA	NA	NA	NA	148458	208975	NA	NA	NA	NA	NA	86317	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ft173	NA	NA	23516	NA	NA	NA	61251	NA	NA	68931	NA	NA	NA	NA	NA	NA	NA	NA	72888	NA	NA	NA	NA	NA	55893	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	29839	NA	NA	NA	NA	NA	52132	NA	NA	30466	NA	NA	NA	NA	NA	NA	25099	34567	NA	NA	43617	135403	36589	NA	NA	117999	NA	35705	62732
ft165	82692	81832	80857	77038	77223	79073	68628	61960	80065	69847	85818	NA	68756	69041	84832	NA	43249	77332	84824	86623	80250	18193	75045	72109	75212	70873	85063	81619	NA	65768	71500	4735	70384	72005	82058	85734	83044	77409	76067	73863	80042	74751	81638	74256	77871	NA	81680	NA	85356	63926	78982	81338	59492	74572	81251	NA	86501	89359	83625	80958	85762	88977	80896	70267	NA
ft177	NA	NA	NA	NA	NA	NA	64984	NA	NA	NA	NA	NA	NA	NA	NA	16826	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	12589	NA	NA	NA	13279	NA	NA	NA	NA	NA	NA	16966	NA	13628	NA	NA	NA	10586
ft159	40585	3149842	5622260	3765818	3464924	3008569	3125064	2090271	3606566	5101526	4813423	4602960	3348303	7809557	3974977	3763664	4602370	294396	135963	79489	212730	642334	194132	198818	166968	486643	123821	15928237	3177487	5564240	9946270	909320	504331	1026440	1162203	863793	NA	284451	1069232	550382	101635	101058	231074	403364	128849	53172	502478	1076381	88634	184011	312503	1365669	NA	240836	1764582	586174	139501	114349	265045	2376723	2622997	2376096	2378095	1934024	2296872
ft169	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1756349	NA	NA	1576307	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4405397	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1070460	NA	NA
