Metabolite	PB_PM1	PB_PM10	PB_PM11	PB_PM12	PB_PM2	PB_PM3	PB_PM4	PB_PM5	PB_PM6	PB_PM7	PB_PM8	PB_PM9	PM1_D0	PM1_D10	PM1_D30	PM1_D50	PM10_D0	PM10_D10	PM10_D30	PM10_D50	PM11_D0	PM11_D10	PM11_D30	PM11_D50	PM12_D0	PM12_D10	PM2_D0	PM2_D10	PM2_D30	PM2_D50	PM3_D0	PM3_D10	PM3_D30	PM3_D50	PM4_D0	PM4_D30	PM4_D50	PM5_D0	PM5_D10	PM5_D30	PM5_D50	PM6_D0	PM6_D10	PM6_D30	PM6_D50	PM7_D0	PM7_D10	PM7_D30	PM7_D50	PM8_D0	PM8_D30	PM8_D50	PM9_D0	PM9_D10	PM9_D30	PM9_D50	QC2	QC3	QC4	QC5	QC6	QC7
ft652	NA	59070	81953	62063	58749	97164	20821	114121	25274	39405	39502	22215	41981	173755	62290	22323	80531	NA	40667	44512	27711	61550	41615	NA	NA	109055	85065	40888	263745	56972	17298	29429	35439	16305	145675	47014	61805	181948	32115	64611	325958	69840	30620	56303	41903	NA	18471	16285	NA	147348	78536	126908	59691	30258	62712	35908	47819	53770	50869	52519	36333	49776
ft633	30447	34703	103174	59557	162225	287763	85586	366219	40200	87961	139406	92567	49137	445407	81649	56974	10859	35633	22548	27952	NA	42577	52129	NA	24917	36755	45504	64973	430261	41160	105195	35179	129530	172577	40831	9694	69105	NA	30626	63419	50901	22682	21995	29879	122887	93530	15478	23090	26721	41863	35996	126532	NA	19948	32349	16870	41930	53635	59037	47339	28404	42604
ft641	27906	NA	151691	19510	136510	151700	70661	168252	103424	86854	124997	110448	26255	136215	52962	18716	25407	26784	29495	24722	16811	48053	20048	14831	22622	24935	35673	37689	157267	23375	33538	22673	27462	33522	38344	29117	39050	36031	25178	32147	24947	33598	21746	25701	25301	21702	33423	35802	27426	56353	29099	87384	33406	25141	21851	NA	34179	43715	47069	47163	29978	41205
ft629	53230	246435	107442	83106	114223	174525	99571	197338	107445	143049	154372	97338	63375	NA	56775	49788	92610	32888	50727	67955	56181	19073	39388	NA	30695	19114	190361	112605	151718	123614	89788	25881	27748	13789	126830	38313	71510	65576	22869	36282	122808	98744	32800	36432	64568	57023	35824	49043	51765	119558	51316	137030	89941	21787	22908	48128	72598	77724	79397	76126	57644	76785
ft717	334135	722942	776036	506704	1245663	2785153	1222691	5160314	653847	825764	1264450	1032174	572804	7777002	1338856	110604	6924066	291599	754289	8472171	3743690	168659	411811	36598	822484	162346	2914339	675481	1997987	838860	497022	2341670	937353	478247	15901926	1049738	2159772	9368343	1262418	992754	10200093	4532789	457492	2094224	6850587	767494	1051487	760116	5175612	16949287	1840120	19081880	8422681	310309	596038	2270193	3190889	3487057	3491558	3465586	2574504	3155260
ft718	79416	117612	127458	65127	274674	222147	135249	NA	143484	164967	234817	526112	56138	NA	38672	10508	73077	25752	28944	25311	42464	15564	9607	NA	54279	27875	347453	131487	68965	34208	76390	123382	68781	213191	59032	57418	46930	57821	39524	30443	618323	NA	71989	57372	16146	23525	98120	20823	40053	35589	22400	108381	59058	37026	46032	NA	87671	70816	99365	83502	NA	92017
ft750	111299	337138	366807	196056	333428	1100599	323035	1524985	189958	326789	453940	412769	111142	1038424	443315	42549	61310	29684	38065	30470	28157	59718	142185	NA	NA	85786	360823	155753	2190498	217790	46683	21214	26992	20596	23266	39994	82068	62541	31884	138970	172263	96012	19660	22516	10701	40401	37337	21061	8877	125488	49011	96451	79430	63152	42120	21324	128649	123788	157879	162263	96116	161232
ft757	16755	67549	27606	NA	32547	48735	29802	43543	32889	24809	39362	27609	49873	NA	36024	64913	84400	27028	58739	65867	70020	25721	19469	NA	NA	14966	112977	68470	97419	104194	69671	30331	35773	42465	122804	NA	73600	45791	48344	NA	178131	56418	29074	116695	51702	32701	51483	24081	60074	128168	58704	170764	77887	16887	30782	39449	45950	50914	47628	52105	38777	52803
ft762	46028	82816	NA	16591	41218	21352	93295	28825	NA	33001	54047	12240	31368	25940	39505	30829	141603	16165	22304	20543	54721	19444	20819	21854	17014921	118209	22032	57421	NA	NA	43784	22697	90526	52382	27174	35910	31944	22466	31967	35106	NA	19284	13952	18868	NA	28083	37652	20571	NA	37503	33071	27373	1573237	33407841	90299	29905	1265455	1414034	1421087	1388768	935018	1327654
ft769	53351	53459	130206	NA	161389	312701	56339	226330	54822	75138	146091	153234	162110	1404191	74873	NA	1703626	NA	48724	886229	1646071	NA	55226	NA	477607	205926	310033	35136	171559	77929	23460	359715	117523	NA	352181	89604	102794	903767	242641	23118	559194	111283	36979	86354	489284	30469	99195	60442	175686	1943530	75053	813839	662278	38296	18589	187942	304296	334015	322200	309540	225108	305119
ft773	839596	593146	1860341	536410	2520002	1613636	1327684	4154352	533201	1187671	1767913	1832453	749068	6792017	389127	NA	306877	27116	68886	228981	629092	32382	85019	20580	456290	43262	1713960	260135	877439	403265	83858	211560	318838	58474	541602	235619	74087	253089	137969	62581	588611	171043	61865	210135	NA	85518	122804	36426	123168	804621	138029	71796	629213	22636	67020	251820	644492	722618	711605	682611	504589	651449
ft821	4624187	7092722	4888964	5048064	5526442	5994912	4156392	6035276	5804380	6857560	5861603	4500582	2443091	2684919	2398996	2614193	2708749	3135449	2536433	2332187	2425819	1862671	2122790	1100490	1878795	1700643	4020308	4307388	2912729	4007650	4053880	2590664	3905876	6862616	3117913	2460639	4136921	1625997	2226581	1945128	3154958	2452885	3087871	2524209	5835138	3526803	2389442	2189488	3290167	3860945	2187946	6225013	2339240	1748594	2292568	2614518	3779525	4161033	3752297	3987175	2510136	2513586
